Education_Level,Line_Number,Employed,Unemployed,Industry,Gender,Date_Inserted,dense_rank,Max_Salary_USD
High School Diploma,399,91800,10200,Energy,Female,12/1/2000,470,70000
Bachelor's Degree,156,126000,14000,Wholesale Trade,Male,12/1/1995,470,120000
High School Diploma,157,67500,7500,Healthcare,Female,12/1/1995,470,70000
High School Diploma,159,94500,10500,Retail,Female,12/1/1995,470,70000
Associate's Degree,89,72000,8000,Education,Female,11/1/2022,470,90000
Master's Degree,40,103500,11500,Finance,Male,11/1/2021,470,150000
Associate's Degree,41,67500,7500,Education,Female,11/1/2021,470,90000
Bachelor's Degree,42,135000,15000,Manufacturing,Male,11/1/2021,470,120000
High School Diploma,43,103500,11500,Retail,Female,11/1/2021,470,70000
College,1256,81000,9000,Technology,Male,11/1/2019,470,100000
Master's Degree,1115,81000,9000,Energy,Female,11/1/2015,470,150000
Bachelor's Degree,1064,121500,13500,Manufacturing,Male,11/1/2014,470,120000
College,1065,81000,9000,Technology,Female,11/1/2014,470,100000
Bachelor's Degree,681,67500,7500,Healthcare,Female,11/1/2006,470,120000
Bachelor's Degree,584,144000,16000,Hospitality,Male,11/1/2004,470,120000
High School Diploma,585,76500,8500,Energy,Female,11/1/2004,470,70000
Master's Degree,536,108000,12000,Energy,Male,11/1/2003,470,150000
Master's Degree,488,121500,13500,Energy,Male,11/1/2002,470,150000
Associate's Degree,489,81000,9000,Retail,Female,11/1/2002,470,90000
High School Diploma,440,155700,17300,Healthcare,Male,11/1/2001,470,70000
Bachelor's Degree,441,91800,10200,Wholesale Trade,Female,11/1/2001,470,120000
Associate's Degree,152,94500,10500,Education,Male,11/1/1995,470,90000
High School Diploma,153,63000,7000,Energy,Female,11/1/1995,470,70000
Bachelor's Degree,84,130500,14500,Manufacturing,Male,10/1/2022,470,120000
High School Diploma,85,99000,11000,Retail,Female,10/1/2022,470,70000
Bachelor's Degree,36,126000,14000,Manufacturing,Male,10/1/2021,470,120000
High School Diploma,37,94500,10500,Retail,Female,10/1/2021,470,70000
Master's Degree,1255,121500,13500,Manufacturing,Female,10/1/2019,470,150000
High School,1012,81000,9000,Retail,Male,10/1/2013,470,70000
Bachelor's Degree,677,72000,8000,Finance,Female,10/1/2006,470,120000
Bachelor's Degree,580,103500,11500,Finance,Male,10/1/2004,470,120000
High School Diploma,581,67500,7500,Education,Female,10/1/2004,470,70000
Associate's Degree,535,207000,23000,Hospitality,Female,10/1/2003,470,90000
Bachelor's Degree,484,162000,18000,Manufacturing,Male,10/1/2002,470,120000
High School Diploma,485,85500,9500,Healthcare,Female,10/1/2002,470,70000
Bachelor's Degree,436,171000,19000,Manufacturing,Male,10/1/2001,470,120000
High School Diploma,437,108000,12000,Retail,Female,10/1/2001,470,70000
Bachelor's Degree,390,155700,17300,Finance,Male,10/1/2000,470,120000
High School Diploma,391,91800,10200,Agriculture,Female,10/1/2000,470,70000
Bachelor's Degree,340,126000,14000,Manufacturing,Male,10/1/1999,470,120000
High School Diploma,341,94500,10500,Retail,Female,10/1/1999,470,70000
High School Diploma,343,121500,13500,Retail,Female,10/1/1999,470,70000
High School Diploma,148,112500,12500,Manufacturing,Male,10/1/1995,470,70000
Master's Degree,149,85500,9500,Finance,Female,10/1/1995,470,150000
Bachelor's Degree,96,117000,13000,Technology,Male,1/1/2023,470,120000
High School Diploma,97,76500,8500,Retail,Female,1/1/2023,470,70000
Bachelor's Degree,98,94500,10500,Retail,Male,1/1/2023,470,120000
High School Diploma,99,67500,7500,Education,Female,1/1/2023,470,70000
Bachelor's Degree,48,112500,12500,Technology,Male,1/1/2022,470,120000
Bachelor's Degree,50,117000,13000,Retail,Male,1/1/2022,470,120000
High School Diploma,51,81000,9000,Healthcare,Female,1/1/2022,470,70000
Bachelor's Degree,0,90000,10000,Tech,Male,1/1/2021,470,120000
High School Diploma,1,135000,15000,Retail,Female,1/1/2021,470,70000
Associate's Degree,2,108000,12000,Manufacturing,Male,1/1/2021,470,90000
High School Diploma,3,76500,8500,Finance,Female,1/1/2021,470,70000
College,1072,108000,12000,Professional and Business S.,Male,1/1/2015,470,100000
Master's Degree,928,121500,13500,Hospitality,Male,1/1/2012,470,150000
High School,929,81000,9000,Hospitality,Female,1/1/2012,470,70000
Bachelor's Degree,736,115650,12850,Energy,Male,1/1/2008,470,120000
High School Diploma,737,174600,19400,Finance,Female,1/1/2008,470,70000
High School Diploma,689,85500,9500,Education,Female,1/1/2007,470,70000
Master's Degree,640,94500,10500,Retail,Male,1/1/2006,470,150000
High School Diploma,641,67500,7500,Education,Female,1/1/2006,470,70000
Bachelor's Degree,592,126000,14000,Hospitality,Male,1/1/2005,470,120000
High School Diploma,593,81000,9000,Retail,Female,1/1/2005,470,70000
Master's Degree,496,180000,20000,Manufacturing,Male,1/1/2003,470,150000
High School Diploma,497,94500,10500,Construction,Female,1/1/2003,470,70000
Master's Degree,448,143100,15900,Agriculture,Male,1/1/2002,470,150000
Bachelor's Degree,449,75600,8400,Healthcare,Female,1/1/2002,470,120000
High School Diploma,403,144000,16000,Healthcare,Female,1/1/2001,470,70000
Bachelor's Degree,306,207000,23000,Agriculture,Male,1/1/1999,470,120000
High School Diploma,307,108000,12000,Retail,Female,1/1/1999,470,70000
Bachelor's Degree,160,117000,13000,Retail,Male,1/1/1996,470,120000
High School Diploma,161,81000,9000,Healthcare,Female,1/1/1996,470,70000
High School Diploma,163,81000,9000,Healthcare,Female,1/1/1996,470,70000
Bachelor's Degree,114,117000,13000,Retail,Male,1/1/1995,470,120000
High School Diploma,115,81000,9000,Healthcare,Female,1/1/1995,470,70000
High School,873,11052600,1228900,Manufacturing,Female,11/1/2010,471,70000
High School Diploma,909,11025900,1227400,Finance,Female,8/1/2011,472,70000
High School Diploma,893,10966800,1224900,Finance,Female,4/1/2011,473,70000
Master's Degree,853,11076600,1238100,Health Care,Female,6/1/2010,474,150000
Master's Degree,1024,13139300,1469000,Professional and Business S.,Male,1/1/2014,475,150000
Bachelor's Degree,1016,13102700,1477200,Education,Male,11/1/2013,476,120000
High School Diploma,385,53000,6000,Energy,Female,9/1/2000,477,70000
Bachelor's Degree,398,53000,6000,Finance,Male,12/1/2000,477,120000
High School Diploma,302,53000,6000,Education,Male,12/1/1998,477,70000
High School Diploma,499,126900,14400,Retail,Female,1/1/2003,478,70000
Bachelor's Degree,1008,13063100,1484100,finance,Male,9/1/2013,479,120000
Associate's Degree,1004,13042000,1487100,finance,Male,8/1/2013,480,90000
Associate's Degree,1000,13021100,1488000,finance,Male,7/1/2013,481,90000
Bachelor's Degree,821,9606300,1101800,Retail,Female,10/1/2009,482,120000
High School,1025,11142500,1280400,finance,Female,1/1/2014,483,70000
Bachelor's Degree,1021,11118500,1281500,Hospitality,Female,12/1/2013,484,120000
High School,997,10980700,1265900,Hospitality,Female,6/1/2013,485,70000
Master's Degree,1017,11094400,1282100,Health Care,Female,11/1/2013,486,150000
Bachelor's Degree,817,9581500,1108800,Finance,Female,9/1/2009,487,120000
Bachelor's Degree,1001,11001400,1273900,Agriculture,Female,7/1/2013,488,120000
Doctorate,1005,11024400,1278100,Agriculture,Female,8/1/2013,489,200000
Associate's Degree,1009,11046400,1281400,Agriculture,Female,9/1/2013,490,90000
Associate's Degree,804,9589300,1119500,Energy,Male,6/1/2009,491,90000
High School,1093,10906500,1283100,Hospitality,Female,6/1/2015,492,70000
Bachelor's Degree,972,16255000,1935200,Manufacturing,Male,12/1/2012,493,120000
Bachelor's Degree,363,191950,23050,Wholesale Trade,Female,3/1/2000,494,120000
High School Diploma,1146,16220900,1953700,Agriculture,Male,7/1/2016,495,70000
Associate's Degree,999,16220900,1953700,Professional and Business S.,Female,6/1/2013,495,90000
Master's Degree,982,16220900,1953700,Agriculture,Male,2/1/2013,495,150000
Bachelor's Degree,968,16220900,1953700,Hospitality,Male,11/1/2012,495,120000
High School Diploma,1026,16220900,1953700,Education,Male,1/1/2014,495,70000
College,1097,10931700,1325000,Health Care,Female,7/1/2015,496,100000
College,964,16205200,1968200,Retail,Male,10/1/2012,497,100000
Master's Degree,1436,432000,53000,Technology,Female,8/1/1999,498,150000
High School Diploma,1101,10951600,1349800,Construction,Female,8/1/2015,499,70000
Bachelor's Degree,1109,10966700,1353300,Retail,Female,10/1/2015,500,120000
Associate's Degree,383,81000,10000,Retail,Female,8/1/2000,501,90000
High School,1430,405000,50000,Finance,Female,2/1/1999,501,70000
College,833,9516400,1178500,Finance,Female,1/1/2010,502,100000
Master's Degree,1435,427000,53000,Technology,Male,7/1/1999,503,150000
High School,1433,418000,52000,Healthcare,Male,5/1/1999,504,70000
High School,1429,400000,50000,Finance,Male,1/1/1999,505,70000
Bachelor's Degree,1060,12825200,1607700,Retail,Male,10/1/2014,506,120000
Bachelor's Degree,1300,15905200,1996100,Manufacturing,Male,10/1/2020,507,120000
High School,1434,422000,53000,Healthcare,Female,6/1/1999,508,70000
High School Diploma,1105,10977300,1380100,Retail,Female,9/1/2015,509,70000
Master's Degree,1113,10995300,1384300,Health Care,Female,11/1/2015,510,150000
Associate's Degree,1088,12845400,1623400,Manufacturing,Male,5/1/2015,511,90000
College,1084,12842900,1627000,Energy,Male,4/1/2015,512,100000
Master's Degree,1080,12840600,1628500,Retail,Male,3/1/2015,513,150000
Associate's Degree,1076,12838200,1629200,Education,Male,2/1/2015,514,90000
Master's Degree,78,133100,16900,Finance,Male,8/1/2022,515,150000
College,1304,15854900,2017000,Retail,Male,11/1/2020,516,100000
Bachelor's Degree,1431,408000,52000,Education,Male,3/1/1999,517,120000
Bachelor's Degree,1432,412000,53000,Education,Female,4/1/1999,518,120000
Bachelor's Degree,1117,10987800,1416600,Construction,Female,12/1/2015,519,120000
College,913,10936700,1417900,Finance,Female,9/1/2011,520,100000
Master's Degree,1312,15687700,2040000,Energy,Male,1/1/2021,521,150000
Master's Degree,917,10887300,1417100,Information,Female,10/1/2011,522,150000
Bachelor's Degree,1308,15743400,2060000,Construction,Male,12/1/2020,523,120000
High School,921,10837500,1427100,Hospitality,Female,11/1/2011,524,70000
Bachelor's Degree,902,10512000,1386900,Hospitality,Male,6/1/2011,525,120000
Master's Degree,1030,10512000,1386900,Education,Male,2/1/2014,525,150000
High School,1069,10512000,1386900,Technology,Female,12/1/2014,525,70000
High School Diploma,1022,10512000,1386900,Agriculture,Male,12/1/2013,525,70000
Master's Degree,974,10512000,1386900,Professional and Business S.,Male,12/1/2012,525,150000
Bachelor's Degree,1073,10535500,1395700,Manufacturing,Female,1/1/2015,526,120000
Bachelor's Degree,1296,15902100,2108900,Manufacturing,Male,9/1/2020,527,120000
High School,1089,10633300,1410200,Education,Female,5/1/2015,528,70000
Associate's Degree,820,11961900,1586800,Hospitality,Male,10/1/2009,529,90000
Bachelor's Degree,1085,10612300,1408100,Hospitality,Female,4/1/2015,530,120000
Bachelor's Degree,1077,10561900,1401900,Health Care,Female,2/1/2015,531,120000
High School Diploma,925,10796800,1433700,Health Care,Female,12/1/2011,532,70000
High School,1081,10587600,1406500,Finance,Female,3/1/2015,533,70000
High School Diploma,1061,10456700,1392200,Manufacturing,Female,10/1/2014,534,70000
Bachelor's Degree,824,11937500,1602900,Finance,Male,11/1/2009,535,120000
Master's Degree,819,15576000,2102400,Hospitality,Female,9/1/2009,536,150000
Master's Degree,531,15576000,2102400,Professional and Business S.,Female,9/1/2003,536,150000
Master's Degree,1247,15576000,2102400,Education,Female,8/1/2019,536,150000
Associate's Degree,1103,15576000,2102400,Manufacturing,Female,8/1/2015,536,90000
Master's Degree,1006,15576000,2102400,Hospitality,Male,8/1/2013,536,150000
Master's Degree,950,15576000,2102400,Technology,Male,6/1/2012,536,150000
Associate's Degree,711,15576000,2102400,Education,Female,6/1/2007,536,90000
Master's Degree,663,15576000,2102400,Professional and Business S.,Female,6/1/2006,536,150000
High School Diploma,566,15576000,2102400,Hospitality,Male,6/1/2004,536,70000
Master's Degree,898,15576000,2102400,Professional and Business S.,Male,5/1/2011,536,150000
Bachelor's Degree,851,15576000,2102400,Energy,Female,5/1/2010,536,120000
High School Diploma,1230,15576000,2102400,Education,Male,4/1/2019,536,70000
Master's Degree,846,15576000,2102400,Professional and Business S.,Male,4/1/2010,536,150000
Associate's Degree,655,15576000,2102400,Energy,Female,4/1/2006,536,90000
High School Diploma,1082,15576000,2102400,Agriculture,Male,3/1/2015,536,70000
High School Diploma,1270,15576000,2102400,Retail,Male,2/1/2020,536,70000
High School Diploma,1126,15576000,2102400,Agriculture,Male,2/1/2016,536,70000
Associate's Degree,983,15576000,2102400,Agriculture,Female,2/1/2013,536,90000
Associate's Degree,887,15576000,2102400,Hospitality,Female,2/1/2011,536,90000
Master's Degree,742,15576000,2102400,Education,Male,2/1/2008,536,150000
Associate's Degree,599,15576000,2102400,Energy,Female,2/1/2005,536,90000
High School Diploma,1166,15576000,2102400,Retail,Male,12/1/2016,536,70000
Master's Degree,878,15576000,2102400,Education,Male,12/1/2010,536,150000
Associate's Degree,783,15576000,2102400,Hospitality,Female,12/1/2008,536,90000
Associate's Degree,735,15576000,2102400,Professional and Business S.,Female,12/1/2007,536,90000
Master's Degree,686,15576000,2102400,Manufacturing,Male,12/1/2006,536,150000
Master's Degree,922,15576000,2102400,Professional and Business S.,Male,11/1/2011,536,150000
High School Diploma,778,15576000,2102400,Professional and Business S.,Male,11/1/2008,536,70000
Master's Degree,966,15576000,2102400,Professional and Business S.,Male,10/1/2012,536,150000
Master's Degree,727,15576000,2102400,Manufacturing,Female,10/1/2007,536,150000
Bachelor's Degree,583,15576000,2102400,Finance,Female,10/1/2004,536,120000
Bachelor's Degree,883,15576000,2102400,Energy,Female,1/1/2011,536,120000
Associate's Degree,691,15576000,2102400,Professional and Business S.,Female,1/1/2007,536,90000
Master's Degree,642,15576000,2102400,Hospitality,Male,1/1/2006,536,150000
Associate's Degree,844,11925100,1640500,Health Care,Male,4/1/2010,537,90000
Bachelor's Degree,1087,3230100,445500,Retail,Female,4/1/2015,538,120000
College,852,14873700,2091400,Construction,Male,6/1/2010,539,100000
High School,868,14799100,2104800,Hospitality,Male,10/1/2010,540,70000
College,904,15994200,2281900,Finance,Male,7/1/2011,541,100000
Bachelor's Degree,1292,15832800,2268100,Manufacturing,Male,8/1/2020,542,120000
Bachelor's Degree,900,16024600,2307600,Finance,Male,6/1/2011,543,120000
Bachelor's Degree,908,15941800,2303800,Finance,Male,8/1/2011,544,120000
Master's Degree,1155,74250,10750,Manufacturing,Female,9/1/2016,545,150000
Master's Degree,1295,74250,10750,Education,Female,8/1/2020,545,150000
Associate's Degree,623,74250,10750,Hospitality,Female,8/1/2005,545,90000
Master's Degree,1291,74250,10750,Education,Female,7/1/2020,545,150000
Master's Degree,567,74250,10750,Hospitality,Female,6/1/2004,545,150000
Master's Degree,803,74250,10750,Professional and Business S.,Female,5/1/2009,545,150000
Master's Degree,1231,74250,10750,Manufacturing,Female,4/1/2019,545,150000
High School Diploma,942,74250,10750,Education,Male,4/1/2012,545,70000
Master's Degree,894,74250,10750,Hospitality,Male,4/1/2011,545,150000
Master's Degree,1083,74250,10750,Professional and Business S.,Female,3/1/2015,545,150000
Master's Degree,553,74250,10750,Retail,Female,3/1/2004,545,150000
Master's Degree,1263,74250,10750,Manufacturing,Female,12/1/2019,545,150000
Associate's Degree,967,74250,10750,Energy,Female,10/1/2012,545,90000
High School,896,16016000,2323800,Hospitality,Male,5/1/2011,546,70000
Bachelor's Degree,800,16805000,2445000,Construction,Male,5/1/2009,547,120000
High School Diploma,678,16805000,2445000,Finance,Male,10/1/2006,547,70000
Master's Degree,738,16805000,2445000,Finance,Male,1/1/2008,547,150000
Bachelor's Degree,864,14746900,2150000,Energy,Male,9/1/2010,548,120000
College,872,14694100,2161200,Information Tech,Male,11/1/2010,549,100000
Bachelor's Degree,892,15985300,2360300,Finance,Male,4/1/2011,550,120000
College,920,14629500,2182600,Hospitality,Male,11/1/2011,551,100000
College,880,15935100,2380200,Technology,Male,1/1/2011,552,100000
High School,912,14723600,2199800,Manufacturing,Male,9/1/2011,553,70000
Bachelor's Degree,888,15912300,2377400,Information Tech,Male,3/1/2011,554,120000
Bachelor's Degree,924,14596300,2189300,Finance,Male,12/1/2011,555,120000
High School,884,15860200,2382900,Finance,Male,2/1/2011,556,70000
Bachelor's Degree,876,14597200,2197200,Technology,Male,12/1/2010,557,120000
Bachelor's Degree,916,14674200,2216200,Retail,Male,10/1/2011,558,120000
College,1288,15714600,2483600,Retail,Male,7/1/2020,559,100000
Master's Degree,998,45900,7900,Professional and Business S.,Male,6/1/2013,560,150000
Bachelor's Degree,747,45900,7900,Retail,Female,3/1/2008,560,120000
Associate's Degree,871,45900,7900,Agriculture,Female,10/1/2010,560,90000
Master's Degree,1075,45900,7900,Agriculture,Female,1/1/2015,560,150000
Associate's Degree,931,45900,7900,Energy,Female,1/1/2012,560,90000
Master's Degree,722,68000,12000,Retail,Male,9/1/2007,561,150000
Master's Degree,528,52700,9300,Retail,Male,9/1/2003,561,150000
Associate's Degree,529,35700,6300,Healthcare,Female,9/1/2003,561,90000
Bachelor's Degree,192,52700,9300,Finance,Male,9/1/1996,561,120000
High School Diploma,193,34000,6000,Agriculture,Female,9/1/1996,561,70000
Bachelor's Degree,30,65450,11550,Manufacturing,Male,8/1/2021,561,120000
High School Diploma,31,44200,7800,Retail,Female,8/1/2021,561,70000
High School Diploma,1054,68000,12000,Agriculture,Male,8/1/2014,561,70000
Master's Degree,910,68000,12000,Hospitality,Male,8/1/2011,561,150000
Bachelor's Degree,524,65450,11550,Construction,Male,8/1/2003,561,120000
High School Diploma,525,44200,7800,Agriculture,Female,8/1/2003,561,70000
Master's Degree,188,68000,12000,Healthcare,Male,8/1/1996,561,150000
Associate's Degree,189,44200,7800,Wholesale Trade,Female,8/1/1996,561,90000
Associate's Degree,191,44200,7800,Manufacturing,Female,8/1/1996,561,90000
High School Diploma,618,56950,10050,Professional and Business S.,Male,7/1/2005,561,70000
Associate's Degree,568,140250,24750,Energy,Male,7/1/2004,561,90000
Bachelor's Degree,569,89250,15750,Healthcare,Female,7/1/2004,561,120000
High School Diploma,570,56950,10050,Professional and Business S.,Male,7/1/2004,561,70000
High School Diploma,521,51000,9000,Healthcare,Female,7/1/2003,561,70000
Associate's Degree,522,56950,10050,Professional and Business S.,Male,7/1/2003,561,90000
Bachelor's Degree,474,93500,16500,Retail,Male,7/1/2002,561,120000
High School Diploma,475,63750,11250,Agriculture,Female,7/1/2002,561,70000
High School Diploma,283,123250,21750,Finance,Female,7/1/1998,561,70000
Bachelor's Degree,184,100300,17700,Education,Male,7/1/1996,561,120000
High School Diploma,185,52700,9300,Retail,Female,7/1/1996,561,70000
Bachelor's Degree,186,83300,14700,Education,Male,7/1/1996,561,120000
Master's Degree,564,119000,21000,Energy,Male,6/1/2004,561,150000
Bachelor's Degree,565,76500,13500,Finance,Female,6/1/2004,561,120000
Bachelor's Degree,516,68000,12000,Manufacturing,Male,6/1/2003,561,120000
High School Diploma,517,45050,7950,Education,Female,6/1/2003,561,70000
Master's Degree,470,80750,14250,Wholesale Trade,Male,6/1/2002,561,150000
Associate's Degree,471,56950,10050,Finance,Female,6/1/2002,561,90000
Bachelor's Degree,182,25500,4500,Manufacturing,Male,6/1/1996,561,120000
High School Diploma,183,51000,9000,Healthcare,Female,6/1/1996,561,70000
Master's Degree,946,68000,12000,Education,Male,5/1/2012,561,150000
Master's Degree,658,56950,10050,Energy,Male,5/1/2006,561,150000
Master's Degree,561,93500,16500,Hospitality,Female,5/1/2004,561,150000
Master's Degree,512,80750,14250,Healthcare,Male,5/1/2003,561,150000
Associate's Degree,513,56950,10050,Finance,Female,5/1/2003,561,90000
High School Diploma,226,39100,6900,Finance,Female,5/1/1997,561,70000
Bachelor's Degree,227,25500,4500,Energy,Male,5/1/1997,561,120000
High School Diploma,130,144500,25500,Manufacturing,Male,5/1/1995,561,70000
Master's Degree,131,93500,16500,Education,Female,5/1/1995,561,150000
Associate's Degree,556,131750,23250,Energy,Male,4/1/2004,561,90000
Bachelor's Degree,557,85000,15000,Finance,Female,4/1/2004,561,120000
Associate's Degree,558,140250,24750,Hospitality,Male,4/1/2004,561,90000
Bachelor's Degree,508,93500,16500,Retail,Male,4/1/2003,561,120000
High School Diploma,509,63750,11250,Agriculture,Female,4/1/2003,561,70000
Master's Degree,462,83300,14700,Manufacturing,Female,4/1/2002,561,150000
Associate's Degree,463,43350,7650,Retail,Male,4/1/2002,561,90000
Bachelor's Degree,414,144500,25500,Agriculture,Male,4/1/2001,561,120000
High School Diploma,415,93500,16500,Retail,Female,4/1/2001,561,70000
Bachelor's Degree,270,39100,6900,Manufacturing,Male,4/1/1998,561,120000
High School Diploma,271,25500,4500,Agriculture,Female,4/1/1998,561,70000
Master's Degree,222,83300,14700,Manufacturing,Female,4/1/1997,561,150000
Associate's Degree,223,43350,7650,Retail,Male,4/1/1997,561,90000
Master's Degree,602,140250,24750,Energy,Male,3/1/2005,561,150000
High School Diploma,1174,68000,12000,Professional and Business S.,Male,2/1/2017,561,70000
Bachelor's Degree,548,136000,24000,Manufacturing,Male,2/1/2004,561,120000
Bachelor's Degree,549,89250,15750,Finance,Female,2/1/2004,561,120000
Master's Degree,212,56100,9900,Finance,Male,2/1/1997,561,150000
Associate's Degree,213,36550,6450,Retail,Female,2/1/1997,561,90000
Associate's Degree,166,68000,12000,Manufacturing,Male,2/1/1996,561,90000
Master's Degree,543,68000,12000,Professional and Business S.,Female,12/1/2003,561,150000
Bachelor's Degree,204,39100,6900,Education,Male,12/1/1996,561,120000
High School Diploma,205,25500,4500,Healthcare,Female,12/1/1996,561,70000
Master's Degree,90,51000,9000,Manufacturing,Male,11/1/2022,561,150000
Associate's Degree,91,33150,5850,Retail,Female,11/1/2022,561,90000
Bachelor's Degree,537,41650,7350,Retail,Female,11/1/2003,561,120000
Master's Degree,200,51000,9000,Manufacturing,Male,11/1/1996,561,150000
Associate's Degree,201,33150,5850,Retail,Female,11/1/1996,561,90000
Master's Degree,202,68000,12000,Manufacturing,Male,11/1/1996,561,150000
Associate's Degree,203,44200,7800,Retail,Female,11/1/1996,561,90000
Bachelor's Degree,86,73950,13050,Energy,Male,10/1/2022,561,120000
High School Diploma,87,39100,6900,Healthcare,Female,10/1/2022,561,70000
Bachelor's Degree,532,68000,12000,"Trade, Transportation, Util.",Male,10/1/2003,561,120000
High School Diploma,533,45900,8100,Energy,Female,10/1/2003,561,70000
High School Diploma,534,140250,24750,Finance,Male,10/1/2003,561,70000
Bachelor's Degree,196,73950,13050,Energy,Male,10/1/1996,561,120000
High School Diploma,197,39100,6900,Healthcare,Female,10/1/1996,561,70000
Master's Degree,594,56950,10050,Finance,Male,1/1/2005,561,150000
Bachelor's Degree,545,80750,14250,Energy,Female,1/1/2004,561,120000
Master's Degree,354,123250,21750,Energy,Male,1/1/2000,561,150000
Associate's Degree,355,80750,14250,Education,Female,1/1/2000,561,90000
Bachelor's Degree,208,83300,14700,Agriculture,Male,1/1/1997,561,120000
High School Diploma,209,43350,7650,Healthcare,Female,1/1/1997,561,70000
High School Diploma,179,67500,12500,Finance,Female,5/1/1996,562,70000
Master's Degree,362,92750,17250,Manufacturing,Male,3/1/2000,563,150000
Bachelor's Degree,1280,13737500,2577300,Technology,Male,5/1/2020,564,120000
Bachelor's Degree,518,100750,19250,Manufacturing,Male,6/1/2003,565,120000
High School Diploma,435,154500,30500,Healthcare,Female,9/1/2001,566,70000
High School Diploma,1281,8698900,1734200,Retail,Female,5/1/2020,567,70000
High School Diploma,423,92000,19000,Wholesale Trade,Female,6/1/2001,568,70000
Bachelor's Degree,451,92000,19000,Construction,Female,1/1/2002,568,120000
Bachelor's Degree,366,67840,14160,Education,Male,4/1/2000,569,120000
High School Diploma,619,80750,17250,Finance,Female,7/1/2005,570,70000
Master's Degree,571,80750,17250,Finance,Female,7/1/2004,570,150000
Master's Degree,523,80750,17250,"Trade, Transportation, Util.",Female,7/1/2003,570,150000
Associate's Degree,659,80750,17250,Professional and Business S.,Female,5/1/2006,570,90000
Master's Degree,514,80750,17250,Healthcare,Male,5/1/2003,570,150000
Master's Degree,595,80750,17250,Hospitality,Female,1/1/2005,570,150000
Bachelor's Degree,438,102500,22500,Manufacturing,Male,10/1/2001,571,120000
Associate's Degree,491,68000,15100,Construction,Female,11/1/2002,572,90000
Bachelor's Degree,773,900000,200000,Finance and Insurance,Female,10/1/2008,573,120000
Master's Degree,88,98000,22000,Finance,Male,11/1/2022,574,150000
Master's Degree,718,34900,7900,Finance,Male,8/1/2007,575,150000
Associate's Degree,971,34900,7900,Energy,Female,11/1/2012,575,90000
Bachelor's Degree,586,34900,7900,Finance,Male,11/1/2004,575,120000
High School Diploma,101,93500,21500,Retail,Female,2/1/2023,576,70000
Master's Degree,1259,12442000,3076900,Manufacturing,Female,11/1/2019,577,150000
Bachelor's Degree,330,78300,19700,Wholesale Trade,Male,7/1/1999,578,120000
Bachelor's Degree,194,52700,13300,Finance,Male,9/1/1996,579,120000
High School Diploma,494,99000,26000,Education,Male,12/1/2002,580,70000
Master's Degree,334,142000,38000,Finance,Male,8/1/1999,581,150000
High School Diploma,455,68300,18700,Energy,Female,2/1/2002,582,70000
High School Diploma,359,68300,18700,Energy,Female,2/1/2000,582,70000
Bachelor's Degree,443,68300,18700,Retail,Female,11/1/2001,582,120000
Master's Degree,498,68300,19500,Manufacturing,Male,1/1/2003,583,150000
Associate's Degree,370,62000,18000,Energy,Male,5/1/2000,584,90000
High School Diploma,439,62000,18000,Retail,Female,10/1/2001,584,70000
High School Diploma,1079,31974,9837,Technology,Female,2/1/2015,585,70000
Associate's Degree,454,110500,34500,Manufacturing,Male,2/1/2002,586,90000
Associate's Degree,358,110500,34500,Manufacturing,Male,2/1/2000,586,90000
Bachelor's Degree,1277,8071900,2820700,Hospitality,Female,4/1/2020,587,120000
Bachelor's Degree,788,200000,70000,Finance,Male,2/1/2009,588,120000
Bachelor's Degree,422,92500,32500,Energy,Male,6/1/2001,589,120000
Master's Degree,450,92500,32500,Agriculture,Male,1/1/2002,589,150000
College,1276,12733800,4494200,Energy,Male,4/1/2020,590,100000
Master's Degree,490,102000,38500,Energy,Male,11/1/2002,591,150000
High School Diploma,187,52700,22300,Retail,Female,7/1/1996,592,70000
Bachelor's Degree,510,99000,41990,Retail,Male,4/1/2003,593,120000
Bachelor's Degree,239,4621000,2102000,Healthcare,Male,8/1/1997,594,120000
High School Diploma,331,144900,66100,Retail,Female,7/1/1999,595,70000
Associate's Degree,407,61000,29000,Retail,Female,2/1/2001,596,90000
Associate's Degree,419,41700,20300,Education,Female,5/1/2001,597,90000
Master's Degree,418,34200,17800,Finance,Male,5/1/2001,598,150000
Bachelor's Degree,502,60750,34560,Agriculture,Male,2/1/2003,599,120000
Master's Degree,478,55500,32500,Construction,Male,8/1/2002,600,150000
Bachelor's Degree,278,73950,44050,Finance,Male,6/1/1998,601,120000
Bachelor's Degree,198,73950,44050,Energy,Male,10/1/1996,601,120000
High School Diploma,519,56950,38050,Education,Female,6/1/2003,602,70000
Bachelor's Degree,279,39100,26900,Manufacturing,Male,6/1/1998,603,120000
High School Diploma,199,39100,26900,Healthcare,Female,10/1/1996,603,70000
Bachelor's Degree,777,82000,58000,Government and Public Admin.,Female,11/1/2008,604,120000
Bachelor's Degree,769,250000,200000,Finance,Female,9/1/2008,605,120000
Associate's Degree,515,56950,53050,Finance,Female,5/1/2003,606,90000
Master's Degree,190,7800500,7481500,Healthcare,Male,8/1/1996,607,150000
Associate's Degree,707,9900,9900,Education,Female,5/1/2007,608,90000
Associate's Degree,776,200000,200000,Retail,Male,11/1/2008,608,90000
Bachelor's Degree,801,150000,200000,Construction,Female,5/1/2009,609,120000
High School Diploma,785,150000,200000,Manufacturing,Female,1/1/2009,609,70000
